Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
NGC 7243	Amas d’étoiles ouvert	Caldwell 16	22,2527083333333	49,8972222222222	6,4	0,5	0,5	Le Lézard	NGC
NGC 2903	Galaxie	PGC 27077	9,53576666666667	21,5026944444444	9,01	0,1016667	0,0549	Le Lion	NGC
NGC 3384	Galaxie	PGC 32292	10,8043861111111	12,6313888888889	10	0,063616667	0,03245	Le Lion	NGC
NGC 3521	Galaxie	Bubble Galaxy	11,0965444444444	-0,0344166666666667	9,02	0,10661111	0,0487	Le Lion	NGC
NGC 3607	Quasar	PGC 34426	11,2815611111111	18,0543055555556	12,76	0,04416667	0,0393	Le Lion	NGC
NGC 3628	Galaxie	Galaxie du Hamburger	11,3377805555556	13,59175	9,48	0,176283334	0,0423	Le Lion	NGC
NGC 3344	Galaxie	Galaxie de l’Onion coupé	10,7249833333333	24,92475	9,86	0,07605	0,07453334	Le Petit Lion	NGC
NGC 3432	Galaxie	Galaxie de l’Aiguille à Tricoter	10,8749416666667	36,6217777777778	11,67	0,10455	0,020916667	Le Petit Lion	NGC
NGC 2683	Galaxie	Galaxie OVNI	8,87772222222222	33,42325	9,7	0,089716667	0,035883334	Le Lynx	NGC
NGC 2237 / 2244	Amas d’étoiles ouvert	Nébuleuse de la Rosette – Caldwell 50	6,531625	4,94322222222222	4,8	0,4	0,4	La Licorne	NGC
NGC 2261	Nébuleuse par réflexion	Nébuleuse variable de Hubble – Caldwell 46	6,65244722222222	8,73708333333333	9	0,03334	0,016667	La Licorne	NGC
NGC 6369	Nébuleuse planétaire	Nébuleuse du petit Fantôme	17,4892833333333	-23,7599166666667	11,4	0,007783334	0,007783334	Ophiuchus	NGC
NGC 6572	Nébuleuse planétaire	Nébuleuse de la Racquetball bleue	18,2020611111111	6,85547222222222	8,1	0,00555	0,004116667	Ophiuchus	NGC
NGC 6633	Amas d’étoiles ouvert	Tweedledum Cluster	18,458975	6,571805556	4,6	0,3334	0,3334	Ophiuchus	NGC
NGC 1788	Nébuleuse par réflexion	Nébuleuse de la Chauve-souris Cosmique	5,11478055555556	-3,34027777777778	10,11	0,03334	0,03334	Orion	NGC
NGC 1977	Nébuleuse bipolaire	Nébuleuse du Coureur	5,58441388888889	-4,73005555555556	0	0	0	Orion	NGC
NGC 2024	Amas associé à une nébulosité	Nébuleuse de la Flamme	5,69500833333333	-1,84038888888889	0	2	2	Orion	NGC
NGC 2022	Nébuleuse planétaire	Nébuleuse des Croissants qui s’embrassent	5,70145833333333	9,08705555555556	11,6	0,005383334	0,005383334	Orion	NGC
NGC 2194	Amas d’étoiles ouvert	Cr 87	6,22916666666667	12,81875	8,5	0,083334	0,083334	Orion	NGC
NGC 7331	Galaxie	Groupe Deer Lick – Caldwell 30	22,6181861111111	34,4156111111111	9,48	0,175	0,0616667	Pégase	NGC
NGC 869 / 884	Amas d’étoiles ouvert	Double amas – Caldwell 14	2,31671944444444	57,1242777777778	3,8	0,5	0,5	Persée	NGC
NGC 1023	Galaxie	Galaxie lenticulaire de Persée	2,67333055555556	39,061	9,35	0,09616667	0,03655	Persée	NGC
NGC 1491	Région HII	Nébuleuse de l’empreinte Fossile – SH2-206	4,05420833333333	51,312	0	0,15	0,1	Persée	NGC
NGC 2438	Nébuleuse planétaire	PGC 3517755	7,69700277777778	-14,7337222222222	10,8	0,01955	0,01955	La Poupe	NGC
NGC 2440	Nébuleuse planétaire	Nébuleuse du Papillon Albinos	7,69821944444445	-18,2064444444444	9,4	0,009116667	0,009116667	La Poupe	NGC
NGC 2539	Amas d’étoiles ouvert	Amas du Plat	8,17656666666667	-12,8164166666667	6,5	0,35	0,35	La Poupe	NGC
NGC 253	Galaxie	Galaxie du Sculpteur – Caldwell 65	0,792722222222222	-25,2854166666667	8	0,4583334	0,113334	Le Sculpteur	NGC
NGC 6712	Amas d’étoiles globulaire	Mel 215	18,8848638888889	-8,70486111111111	8,69	0,0416667	0,0416667	L’Ecu de Sobieski	NGC
NGC 3115	Galaxie	Galaxie du Fuseau – Caldwell 53	10,0868805555556	-7,71738888888889	9,9	0,12	0,0416667	Le Sextant	NGC
NGC 6445	Nébuleuse planétaire	Nébuleuse de la petite Pierre Précieuse	17,8211805555556	-20,0094166666667	11,2	0,555	0,555	Le Sagittaire	NGC
NGC 6520	Amas d’étoiles ouvert	Amas de la Poitrine du Mort	18,0569888888889	-27,88825	7,6	0,083334	0,083334	Le Sagittaire	NGC
NGC 6818	Nébuleuse planétaire	Nébuleuse de la petite Pierre Précieuse	19,7331472222222	-14,1526111111111	9,3	0,012116667	0,010416667	Le Sagittaire	NGC
NGC 2841	Galaxie	Galaxie de l’Oeil du Tigre	9,36684444444444	50,9782222222222	9,22	0,10545	0,04745	La Grande Ours	NGC
NGC 3079	Galaxie	Galaxie du Frisbee Fantôme	10,0321277777778	55,68225	10,86	0,07483334	0,01796667	La Grande Ours	NGC
NGC 3077	Galaxie	Galaxie Garland	10,054375	68,7363611111111	10,14	0,04945	0,03955	La Grande Ours	NGC
NGC 3675	Galaxie	PGC 35164	11,43535	43,5895	11,06	0,074116667	0,03335	La Grande Ours	NGC
NGC 3877	Galaxie	PGC 36699	11,7684666666667	47,4984444444444	12,03	0,0773334	0,01856667	La Grande Ours	NGC
NGC 3941	Galaxie	PGC 37235	11,88175	36,9900277777778	11,62	0,0386667	0,02475	La Grande Ours	NGC
NGC 4026	Galaxie	PGC 37760	11,9899666666667	50,9658611111111	12,17	0,051	0,01326667	La Grande Ours	NGC
NGC 4088	Galaxie	PGC 38302	12,0924833333333	50,5432777777778	12	0,073116667	0,0351	La Grande Ours	NGC
NGC 4605	Galaxie	Galaxie de l’Oeuf de Fabergé	12,666125	61,6140555555556	10,8	0,079116667	0,03165	La Grande Ours	NGC
NGC 4216	Galaxie	Galaxie de la Trainée d’Argent	12,2649111111111	13,1518611111111	10,01	0,115283334	0,02075	La Vierge	NGC
