Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
NGC 869	Amas d’étoiles ouvert	Double amas – Caldwell 14	2,31671944444444	57,1242777777778	3,8	0,5	0,5	Persée	NGC
NGC 884	Amas d’étoiles ouvert	Double amas – Caldwell 14	2,31671944444444	57,1242777777778	3,8	0,5	0,5	Persée	NGC
NGC 1023	Galaxie	Galaxie lenticulaire de Persée	2,67333055555556	39,061	9,35	0,09616667	0,03655	Persée	NGC
NGC 1491	Région HII	Nébuleuse de l’empreinte Fossile – SH2-206	4,05420833333333	51,312	0	0,15	0,1	Persée	NGC
NGC 2438	Nébuleuse planétaire	PGC 3517755	7,69700277777778	-14,7337222222222	10,8	0,01955	0,01955	La Poupe	NGC
NGC 2440	Nébuleuse planétaire	Nébuleuse du Papillon Albinos	7,69821944444445	-18,2064444444444	9,4	0,009116667	0,009116667	La Poupe	NGC
NGC 2539	Amas d’étoiles ouvert	Amas du Plat	8,17656666666667	-12,8164166666667	6,5	0,35	0,35	La Poupe	NGC
NGC 253	Galaxie	Galaxie du Sculpteur – Caldwell 65	0,792722222222222	-25,2854166666667	8	0,4583334	0,113334	Le Sculpteur	NGC
NGC 6712	Amas d’étoiles globulaire	Mel 215	18,8848638888889	-8,70486111111111	8,69	0,0416667	0,0416667	L’Ecu de Sobieski	NGC
NGC 3115	Galaxie	Galaxie du Fuseau – Caldwell 53	10,0868805555556	-7,71738888888889	9,9	0,12	0,0416667	Le Sextant	NGC
